Keyword Stats 2022-05-28 at 09_02_52
2020年5月1日 - 2022年4月30日
Keyword	Currency	Avg. monthly searches	三个月变化	年同比变化	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: May 2020	Searches: Jun 2020	Searches: Jul 2020	Searches: Aug 2020	Searches: Sep 2020	Searches: Oct 2020	Searches: Nov 2020	Searches: Dec 2020	Searches: Jan 2021	Searches: Feb 2021	Searches: Mar 2021	Searches: Apr 2021	Searches: May 2021	Searches: Jun 2021	Searches: Jul 2021	Searches: Aug 2021	Searches: Sep 2021	Searches: Oct 2021	Searches: Nov 2021	Searches: Dec 2021	Searches: Jan 2022	Searches: Feb 2022	Searches: Mar 2022	Searches: Apr 2022	Concept: Computer	Concept: Company	Concept: Other Brands	Concept: Non-Brands	Concept: Device	Concept: Others	Concept: Element
capcut apk windows	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	10	0	10	0	10	0	10	0	10				Non-Brands	"android, windows"	apk	download for pc
capcut for macos	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	20	10	10	10				Non-Brands	mac		
download editor capcut	SGD		 --	 --	未知								Y																												Non-Brands	android	"video editing, apk, video editor"	
capcut download for windows 7	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	10	0	10	0	10	0	0				Non-Brands	windows		download for pc
cap capcut	SGD	10	∞	∞	低	5							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	10				Non-Brands	android		
capcut support	SGD	10	50%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	20	10	10	10	10	10	10	10	20	20	30	30				Non-Brands			
free capcut editor	SGD	10	1000%	1000%	低	14	0.62	1.33					Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	30	10	10	10	10	20	110				Non-Brands		"video editing, video editor"	
tutor edit video capcut	SGD	10	∞	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	0	10	10	0	0	10				Non-Brands		"video editing, video editor"	
cap cut chinese app	SGD	10	0%	-100%	未知								Y	0	0	10	10	10	0	0	0	0	0	10	10	0	0	10	10	10	0	0	0	0	0	0	0				Non-Brands	android	chinese	
media fire capcut	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	10	0	0	0	0	10	10	10	10	10	10	10	0	10	10	10			mediafire		android	apk	
capcut 2021 apk download	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0				Non-Brands	android	"apk, 2021"	
game capcut	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	10	0	0	10	0	10				Non-Brands			
cap cut software	SGD	10	∞	0%	低	3							Y	0	0	0	0	0	0	10	0	0	0	10	10	0	0	0	0	10	10	10	10	10	0	10	10				Non-Brands		2021	
capcut download computer	SGD	10	0%	0%	低	7							Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	computer			Non-Brands			download for pc
cupcat editor app	SGD	0	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Non-Brands	android	"video editing, video editor"	
capcut free download for pc windows 7	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	0	10	0	0	0	0	0				Non-Brands	windows		download for pc
cap cut 4k	SGD	10	150%	400%	低	0							Y	0	0	0	0	0	0	0	10	10	10	10	10	10	10	20	10	20	20	20	30	30	20	50	50				Non-Brands			
cap cut for android	SGD	10	∞	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	10	0	10	0	0	10	10				Non-Brands	android	2021	
capcut app free download for pc	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	0	10				Non-Brands	windows		download for pc
template cap cut	SGD	10	100%	∞	低	3							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	20				Non-Brands			
capcut video editor for laptop	SGD	10	0%	∞	中	48							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	0	0	10	10	10	10	10	laptop			Non-Brands		"video editing, video editor"	
capcut animation download	SGD	10	0%	∞	低	2							Y	0	0	0	0	0	10	10	0	0	10	10	0	10	10	10	10	0	0	10	10	10	10	10	10				Non-Brands			
capcut app for pc free download	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	0	0	10	0	10	10	0	10				Non-Brands	windows	video editing	download for pc
capcut windows version	SGD	10	50%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	10	10	20	20	20	30	20	10	30				Non-Brands	windows		download for pc
capcut free apk	SGD	10	0%	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10				Non-Brands	android	apk	
capcut in desktop	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	"computer, desktop"			Non-Brands			
capcut apk app	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0				Non-Brands	android	apk	
capcut thailand	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	0	0	0	10	10	0				Non-Brands			
download capcut pc windows 10	SGD	10	∞	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	10	0	0	0	10	computer			Non-Brands	windows		download for pc
capcut online download	SGD	10	67%	∞	低	22	0.30	0.97					Y	0	0	0	0	0	0	0	0	0	0	0	0	10	30	10	20	10	10	30	30	40	30	50	50				Non-Brands			
windows capcut	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	windows		download for pc
capcut linux	SGD	10	0%	0%	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	linux		
preset cap cut	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	10				Non-Brands		2021	
video edit capcut	SGD	10	0%	∞	低	29							Y	0	0	0	0	0	0	0	0	10	0	0	0	10	10	10	10	10	10	10	10	0	10	10	10				Non-Brands		"video editing, video editor"	
install capcut on laptop	SGD	10	0%	∞	低	21							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	10	10	0	10	10	0	10	laptop			Non-Brands			
capcut for samsung	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10		samsung			android	2021	
capcut apk for windows	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	10	10	0	0				Non-Brands	"android, windows"	apk	download for pc
download capcut for pc windows 7	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	10	0	0	0	0	0	0	0				Non-Brands	windows		download for pc
download free capcut	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	10	0	0	10	0	0	0	10	0				Non-Brands	android	apk	
tiktok cap cut	SGD	10	50%	200%	低	4							Y	0	0	0	0	10	0	10	10	0	10	10	10	40	20	10	10	10	40	10	10	10	20	20	30				Non-Brands		video editing	
capcut download iphone	SGD	10	0%	∞	低	21							Y	0	0	0	0	0	0	0	0	10	0	0	0	10	10	10	10	10	0	10	0	0	10	10	10				Non-Brands	"ios, iphone"		
capcut pc app	SGD	20	0%	800%	低	3	0.68	1.33					Y	0	0	0	0	0	0	10	10	0	0	0	10	10	10	20	10	20	10	20	110	110	90	90	90				Non-Brands			download for pc
capcut apk 3d	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0				Non-Brands	android	apk	
capcut app 3d zoom	SGD	10	0%	∞	低	5							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	30	10	10	10	10	10	10			zoom				
install cap cut	SGD	10	∞	0%	低	11							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	0	10	10	10	10	0	0	0	10				Non-Brands			
photo capcut	SGD	10	200%	200%	低	13	0.88	2.01					Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	10	10	10	10	30				Non-Brands		photo	
capcut apk download android	SGD	10	0%	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10				Non-Brands	android	apk	
capcut on macbook	SGD	10	25%	400%	低	0							Y	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	20	10	10	20	30	20	40	50	50		apple			mac		
white background for capcut	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10				Non-Brands			
capcut app download for mac	SGD	10	0%	0%	低	5							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	0	10	10	10				Non-Brands	mac		download for mac
viamaker editor	SGD	10	0%	0%	低	29							Y	10	10	10	10	10	10	0	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10				Non-Brands		"video editing, apk, video editor"	
wallpaper video capcut	SGD		 --	 --	未知								Y																												Non-Brands			
download capcut windows 10	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	10	10	10	10	10	0	0				Non-Brands	windows		download for pc
capcut apk free	SGD	10	0%	∞	低	29							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	10	10	10	10	10				Non-Brands	android	apk	
capcut download pc windows	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	10	0	10	10	0	10	0				Non-Brands	windows		download for pc
capcut use	SGD	10	0%	0%	低	11							Y	0	0	0	0	0	0	0	10	0	10	10	10	10	10	10	10	10	10	0	10	10	10	10	10				Non-Brands			
edit video online capcut	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	10	0	0	0				Non-Brands		"video editing, video editor"	
capcut for laptop windows 10	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	10	0	10	0	0	laptop			Non-Brands	windows		download for pc
cap cut video editor for pc	SGD	10	∞	∞	中	43							Y	0	0	0	10	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	10	10				Non-Brands	windows	"video editing, video editor"	
preset video capcut	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	10	0				Non-Brands			
capcut pro for pc	SGD	10	∞	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	10	10				Non-Brands		"video editing, pro"	download for pc
iphone capcut	SGD	10	0%	∞	低	14							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	10	10	10	10				Non-Brands	"android, iphone"		
capcut app editor	SGD	10	0%	0%	低	14							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	0	0	0	0	10	0	10	10	10				Non-Brands	android	"video editing, video editor"	
capcut app editing	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	10	10	10	10	10	0	10	10	10				Non-Brands	android	"video editing, video editor"	
cap cut pro app	SGD	10	∞	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	10	0	10	10	0	0	10	10				Non-Brands		pro	
capcut free to use	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	10	10	10	0	0	0	0				Non-Brands		video editing	
mediafıre capcut	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	0	0	10	0	0	0				Non-Brands	android	apk	
capcut app 2021	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	10	10	0	10	10	0				Non-Brands	android	2021	
cap cut app download for android	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	10	10	10	0	10	0	0	0	0	0	0	0	0	0	0	0				Non-Brands	android	video editing	
apps cap cut	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0				Non-Brands			
cap cut photo video editor	SGD	10	0%	-100%	未知								Y	0	0	0	0	0	0	0	10	0	0	10	10	10	0	0	0	0	0	10	0	0	0	10	0				Non-Brands		"video editing, video editor, photo"	
cutcap pc	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	10	10	10	10	10	10	0	10				Non-Brands			
new version of capcut	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	10				Non-Brands		apk	
capcut free download windows 10	SGD	10	0%	0%	低	10							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	10	10	0	10	10	10	10	10				Non-Brands	windows		download for pc
edit video capcut online	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0				Non-Brands		"video editing, video editor"	
capcut apk free download for laptop	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	laptop			Non-Brands		apk	
download capcut play store	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	10	0	0	0	10	0	10	0	10	0	0	0	0	0	0	0		google			android	app store	
download capcut for pc free	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	0	0	0	0	0	0	0	0				Non-Brands	windows		download for pc
capcut app free download apk	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	0	0	0	0	0	0				Non-Brands	android	apk	
similar apps like capcut	SGD	10	0%	0%	中	43							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	10	10	0	10	10	10	10	10				Non-Brands		video editing	
capcut new	SGD	10	0%	∞	低	13							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	10	0	10	10	10				Non-Brands	android		
capcut open	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands			
strobe capcut	SGD	10	-50%	0%	低	0							Y	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	20	30	20	10	10				Non-Brands			
capcut 2	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0				Non-Brands			
background video capcut	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	10				Non-Brands		video editing	
viamaker video editing app	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0				Non-Brands		"video editing, video editor"	
capcut tiktok format	SGD	10	200%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	30	10	30	30	10	20	30				Non-Brands		video editing	
cap cut computer	SGD	10	100%	100%	低	2							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	20	20	10	10	20	computer			Non-Brands			
capcut ipa download	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10				Non-Brands	"ios, ipad"		
cup cut pc download	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0				Non-Brands			download for pc
cap cut iphone	SGD	10	∞	0%	低	19							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	10	0	10	0	0	10	10		apple			"ios, iphone"	2021	
capcut m	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	10	10	10	10	10	10				Non-Brands			
apa itu cap cut	SGD		 --	 --	未知								Y																												Non-Brands		2021	
cap cut download mac	SGD	10	∞	-50%	低	0							Y	0	0	0	0	0	0	0	0	10	10	20	20	10	10	10	0	10	10	10	10	10	0	10	10				Non-Brands	mac		download for mac
capcut app for pc download	SGD	10	∞	∞	低	9							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	10	10	10	0	10	10				Non-Brands	windows		download for pc
cap cut for windows 10	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	10	10	10	10	0				Non-Brands	windows		
capcut apk ios download	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	0	10	0	0				Non-Brands	"android, ios"	apk	
capcut microsoft	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	10	10	10	10	10	10	10		microsoft					
best capcut effects	SGD	10	100%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	10	20	20	20	20	10	20	20				Non-Brands			
cap cut for laptop	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	0	10	10	10	10	laptop			Non-Brands			
capcut app download for windows 7	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	0				Non-Brands	windows		download for pc
capcut app download laptop	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	0	10	10	10	0	laptop			Non-Brands			
free download apk capcut	SGD		 --	 --	未知								Y																												Non-Brands	android	apk	
capcut for windows 7 free download	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	10	0	0				Non-Brands	windows		download for pc
capcut app iphone	SGD	10	0%	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	iphone		
capcut photo editor apk	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	0	0	0	0	0	0				Non-Brands	android	"apk, photo"	
cap cut for ios	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	10	10				Non-Brands	"android, ios"		
capcut sign up	SGD	10	100%	100%	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	20				Non-Brands			
edit capcut online	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	10	0	0	10				Non-Brands		"video editing, video editor"	
free download cap cut	SGD		 --	 --	未知								Y																												Non-Brands	android	apk	
new capcut	SGD	10	0%	∞	低	4							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	10	0	10	0	10	10	10				Non-Brands			
capcut apk download laptop	SGD	0	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	laptop			Non-Brands		apk	
capcut free download app	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0				Non-Brands	android	video editing	
cap cut video editing	SGD	30	25%	-44%	低	20	1.07	3.59					Y	0	40	90	20	10	10	10	10	10	10	70	90	50	40	30	40	40	30	30	30	30	40	30	50				Non-Brands		"video editing, video editor"	
cap cut for computer	SGD	10	1600%	750%	低	8	0.66	1.42					Y	0	0	0	0	0	0	0	0	0	0	10	20	10	20	10	10	10	10	10	10	20	10	10	170	computer			Non-Brands			
capcut kinemaster	SGD	10	-50%	0%	低	10							Y	0	0	0	0	0	0	0	0	0	10	0	10	0	0	10	0	10	0	10	10	10	20	10	10			kinemaster		android		
capcut editor for laptop	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	0	10	laptop			Non-Brands		"video editing, video editor"	
smooth capcut	SGD	10	0%	0%	低	4							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands		video editing	
download capcut mediafire	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0			mediafire		android	apk	
zoom in effect capcut	SGD	10	100%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	20	10	10	20			zoom				
capcut app windows	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	windows		download for pc
capcut d	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10				Non-Brands			
capcut down	SGD	10	0%	∞	低	4							Y	0	0	0	0	0	0	0	0	10	0	10	0	10	10	10	10	10	10	10	10	20	10	10	10				Non-Brands	android		
similar app like capcut	SGD	10	0%	∞	中	43							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	10	10	10				Non-Brands		video editing	
capcut edit online	SGD	10	0%	0%	中	43							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	10	10	10	10	10	10				Non-Brands		"video editing, video editor"	
capcut tiktok apk	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	10	0	0	0	0	0	0	0				Non-Brands	android	apk	
capcut game	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	20	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands			
capcut original app	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0	0	0				Non-Brands	android	"video editing, 2021"	
cap cut app for pc	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	10	10	10	10	10	10	0	10	10	0	0	0	0	0	10	10	10				Non-Brands	windows		download for pc
download apk capcut video editor	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	10	0	0				Non-Brands	android	"apk, video editor"	
editing apps like capcut for pc	SGD	10	150%	∞	中	37	0.56	1.66					Y	0	0	0	0	0	0	0	0	0	0	0	0	10	20	30	20	20	20	20	30	20	20	30	50				Non-Brands		"video editing, video editor"	
capcut for tiktok	SGD	10	100%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	20	10	10	10	10	20	10	20	10	10	20	20				Non-Brands		video editing	
capcut pc free	SGD	10	0%	0%	低	29							Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	0	10	10	10	0	10				Non-Brands			download for pc
cara edit gambar di capcut	SGD	0	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Non-Brands		video editor	
capcut apk softonic	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10	0			softonic		android	apk	
capcut for windows free download	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	10	0	10	10	0	10				Non-Brands	windows		download for pc
logo editor capcut	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0				Non-Brands		"video editing, video editor"	
download capcut iphone	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	10	0	10	0	0	0				Non-Brands	iphone		
ios capcut	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	10	10	10	10	10				Non-Brands	"android, ios, iphone"		
capcut apk download windows 10	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	10	0	0				Non-Brands	windows	apk	download for pc
capcut mb	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0				Non-Brands	android	"apk, 2021"	
cap cut app store	SGD	10	∞	0%	低	0							Y	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10				Non-Brands		app store	
download capcut windows 7	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0				Non-Brands	windows		download for pc
apps like capcut for iphone	SGD	10	0%	∞	低	31	0.84	1.73					Y	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	10	10	10	10	10	10	10	10	10				Non-Brands	iphone	video editing	
capcut pc editor	SGD	10	∞	0%	低	14							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	10	0	10	10	0	10	10				Non-Brands		"video editing, video editor"	download for pc
viamaker free download	SGD	10	-100%	0%	未知								Y	10	10	0	0	0	0	0	10	0	0	0	0	10	0	10	10	0	10	10	10	10	10	10	0				Non-Brands		apk	
capcut app for iphone	SGD	10	0%	∞	低	32							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	10	10	10				Non-Brands	iphone		
free edit capcut	SGD	10	∞	∞	低	13	0.74	1.55					Y	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	10	10	0	10	0	0	0	0	30				Non-Brands	android	"video editing, video editor"	
bytedance video editor	SGD	10	0%	0%	低	0							Y	0	0	0	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10			bytedance			"video editing, video editor"	
capcut apk download link	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0				Non-Brands	android	apk	
capcut app pro	SGD	10	0%	0%	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	10	10	0	10	10	10				Non-Brands	android	"video editing, pro"	
capcut in android	SGD	10	-100%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	10	0	10	10	10	0				Non-Brands	android	2021	
cap cut mac download	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	0	10	10	10	10	10				Non-Brands	mac		download for mac
capcut for macbook air	SGD	10	0%	0%	低	9							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	mac		
